Alumno: 37947823, Asignatura: 296111A, Grupo: B, Horario: Martes: 11:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 93321699, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 93321699, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 69217345, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 69217345, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 69217345, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 69217345, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 69217345, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 69217345, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 7165168, Asignatura: 296111A, Grupo: B, Horario: Martes: 11:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 7165168, Asignatura: 2961116, Grupo: B, Horario: Lunes: 09:30 - Lunes: 10:30 - Miércoles: 11:30
Alumno: 7165168, Asignatura: 2961117, Grupo: B, Horario: Jueves: 11:30 - Jueves: 12:30
Alumno: 7165168, Asignatura: 2961118, Grupo: B, Horario: Martes: 12:30 - Miércoles: 12:30
Alumno: 7165168, Asignatura: 2961119, Grupo: B, Horario: Lunes: 11:30 - Lunes: 12:30
Alumno: 45112991, Asignatura: 296111A, Grupo: F, Horario: Lunes: 17:30 - Lunes: 18:30 - Viernes: 17:30
Alumno: 45112991, Asignatura: 2961116, Grupo: F, Horario: Lunes: 15:30 - Martes: 16:30 - Viernes: 18:30
Alumno: 45112991, Asignatura: 2961117, Grupo: F, Horario: Miércoles: 17:30 - Miércoles: 18:30
Alumno: 45112991, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 45112991, Asignatura: 2961119, Grupo: F, Horario: Martes: 17:30 - Martes: 18:30
Alumno: 83060814, Asignatura: 296113Q, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 83060814, Asignatura: 29611AB, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30
Alumno: 83060814, Asignatura: 29611BE, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 83060814, Asignatura: 29611AC, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 21008637, Asignatura: 29611CF, Grupo: A, Horario: Jueves: 11:30 - Jueves: 12:30
Alumno: 58956460, Asignatura: 296113F, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 58956460, Asignatura: 296114E, Grupo: A, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 58956460, Asignatura: 296113J, Grupo: A, Horario: Viernes: 15:30 - Viernes: 16:30
Alumno: 58956460, Asignatura: 296113I, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 58956460, Asignatura: 296113H, Grupo: A, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 96904283, Asignatura: 296113Y, Grupo: A, Horario: Miércoles: 17:30 - Miércoles: 18:30
Alumno: 96904283, Asignatura: 296113A, Grupo: A, Horario: Viernes: 17:30 - Viernes: 18:30
Alumno: 34852106, Asignatura: 296111A, Grupo: D, Horario: Martes: 15:30 - Martes: 16:30 - Viernes: 16:30
Alumno: 34852106, Asignatura: 2961116, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30 - Jueves: 11:30
Alumno: 34852106, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 34852106, Asignatura: 2961128, Grupo: D, Horario: Miércoles: 16:30
Alumno: 34852106, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 34852106, Asignatura: 296112A, Grupo: B, Horario: Martes: 11:30 - Martes: 12:30
Alumno: 72799929, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 72799929, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 72799929, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 72799929, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 72799929, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 48695575, Asignatura: 2961116, Grupo: F, Horario: Lunes: 15:30 - Martes: 16:30 - Viernes: 18:30
Alumno: 48695575, Asignatura: 2961126, Grupo: C, Horario: Miércoles: 10:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 48695575, Asignatura: 2961127, Grupo: C, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 48695575, Asignatura: 2961128, Grupo: C, Horario: Miércoles: 09:30
Alumno: 48695575, Asignatura: 2961129, Grupo: C, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 48695575, Asignatura: 296112A, Grupo: C, Horario: Martes: 09:30 - Martes: 10:30
Alumno: 86643398, Asignatura: 296113C, Grupo: A, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 86643398, Asignatura: 29611AF, Grupo: A, Horario: Martes: 11:30 - Martes: 12:30
Alumno: 86643398, Asignatura: 29611DD, Grupo: A, Horario: Miércoles: 12:30 - Miércoles: 13:30
Alumno: 24591221, Asignatura: 2961118, Grupo: B, Horario: Martes: 12:30 - Miércoles: 12:30
Alumno: 24591221, Asignatura: 296113H, Grupo: A, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 62539044, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 62539044, Asignatura: 2961127, Grupo: B, Horario: Lunes: 11:30 - Lunes: 12:30
Alumno: 62539044, Asignatura: 296113X, Grupo: A, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 62539044, Asignatura: 296113I, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 62539044, Asignatura: 296113Z, Grupo: A, Horario: Martes: 17:30 - Martes: 18:30
Alumno: 486867, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 486867, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 486867, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 486867, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 486867, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 38434690, Asignatura: 2961118, Grupo: A, Horario: Miércoles: 09:30 - Jueves: 12:30
Alumno: 38434690, Asignatura: 2961116, Grupo: B, Horario: Lunes: 09:30 - Lunes: 10:30 - Miércoles: 11:30
Alumno: 38434690, Asignatura: 296112A, Grupo: D, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 38434690, Asignatura: 2961126, Grupo: D, Horario: Miércoles: 15:30 - Viernes: 15:30 - Viernes: 16:30
Alumno: 38434690, Asignatura: 2961127, Grupo: D, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 38434690, Asignatura: 2961128, Grupo: D, Horario: Miércoles: 16:30
Alumno: 38434690, Asignatura: 2961129, Grupo: D, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 76382513, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 76382513, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 76382513, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 76382513, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 76382513, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 14330336, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 14330336, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 14330336, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 14330336, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 14330336, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 52278159, Asignatura: 296113M, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 28173805, Asignatura: 2961116, Grupo: F, Horario: Lunes: 15:30 - Martes: 16:30 - Viernes: 18:30
Alumno: 28173805, Asignatura: 2961117, Grupo: F, Horario: Miércoles: 17:30 - Miércoles: 18:30
Alumno: 28173805, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 28173805, Asignatura: 2961119, Grupo: F, Horario: Martes: 17:30 - Martes: 18:30
Alumno: 28173805, Asignatura: 296111A, Grupo: F, Horario: Lunes: 17:30 - Lunes: 18:30 - Viernes: 17:30
Alumno: 66121628, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 66121628, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 66121628, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 66121628, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 66121628, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 4069451, Asignatura: 2961118, Grupo: C, Horario: Lunes: 12:30 - Miércoles: 09:30
Alumno: 4069451, Asignatura: 2961127, Grupo: D, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 4069451, Asignatura: 2961128, Grupo: D, Horario: Miércoles: 16:30
Alumno: 4069451, Asignatura: 2961129, Grupo: D, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 4069451, Asignatura: 2961126, Grupo: D, Horario: Miércoles: 15:30 - Viernes: 15:30 - Viernes: 16:30
Alumno: 4069451, Asignatura: 296112A, Grupo: D, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 42017274, Asignatura: 2961127, Grupo: D, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 42017274, Asignatura: 2961128, Grupo: D, Horario: Miércoles: 16:30
Alumno: 42017274, Asignatura: 2961129, Grupo: D, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 42017274, Asignatura: 296112A, Grupo: D, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 42017274, Asignatura: 2961126, Grupo: D, Horario: Miércoles: 15:30 - Viernes: 15:30 - Viernes: 16:30
Alumno: 79965097, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 79965097, Asignatura: 2961126, Grupo: B, Horario: Miércoles: 11:30 - Miércoles: 12:30 - Jueves: 11:30
Alumno: 79965097, Asignatura: 296112A, Grupo: B, Horario: Martes: 11:30 - Martes: 12:30
Alumno: 55860743, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 55860743, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 55860743, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 55860743, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 55860743, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 55860743, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 93808566, Asignatura: 296114E, Grupo: A, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 93808566, Asignatura: 296113J, Grupo: A, Horario: Viernes: 15:30 - Viernes: 16:30
Alumno: 93808566, Asignatura: 296113I, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 93808566, Asignatura: 296113H, Grupo: A, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 93808566, Asignatura: 296113F, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 31756389, Asignatura: 2961126, Grupo: D, Horario: Miércoles: 15:30 - Viernes: 15:30 - Viernes: 16:30
Alumno: 31756389, Asignatura: 2961129, Grupo: D, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 69704212, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 69704212, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 69704212, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 69704212, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 69704212, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 7652035, Asignatura: 2961116, Grupo: F, Horario: Lunes: 15:30 - Martes: 16:30 - Viernes: 18:30
Alumno: 7652035, Asignatura: 2961117, Grupo: F, Horario: Miércoles: 17:30 - Miércoles: 18:30
Alumno: 7652035, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 7652035, Asignatura: 2961119, Grupo: F, Horario: Martes: 17:30 - Martes: 18:30
Alumno: 7652035, Asignatura: 296111A, Grupo: F, Horario: Lunes: 17:30 - Lunes: 18:30 - Viernes: 17:30
Alumno: 45599858, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 45599858, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 45599858, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 45599858, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 45599858, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 83547681, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 83547681, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 83547681, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 83547681, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 83547681, Asignatura: 296113Z, Grupo: A, Horario: Martes: 17:30 - Martes: 18:30
Alumno: 83547681, Asignatura: 296113Y, Grupo: A, Horario: Miércoles: 17:30 - Miércoles: 18:30
Alumno: 21495504, Asignatura: 296111A, Grupo: C, Horario: Martes: 09:30 - Miércoles: 10:30 - Miércoles: 11:30
Alumno: 21495504, Asignatura: 2961116, Grupo: C, Horario: Lunes: 11:30 - Martes: 10:30 - Miércoles: 12:30
Alumno: 21495504, Asignatura: 2961118, Grupo: C, Horario: Lunes: 12:30 - Miércoles: 09:30
Alumno: 59443327, Asignatura: 2961129, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 59443327, Asignatura: 296112A, Grupo: A, Horario: Viernes: 09:30 - Viernes: 10:30
Alumno: 59443327, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
Alumno: 59443327, Asignatura: 2961127, Grupo: A, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 59443327, Asignatura: 2961126, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 09:30
Alumno: 97391150, Asignatura: 29611A5, Grupo: A, Horario: Viernes: 10:30 - Viernes: 11:30
Alumno: 97391150, Asignatura: 29611BC, Grupo: A, Horario: Miércoles: 10:30 - Miércoles: 11:30
Alumno: 97391150, Asignatura: 29611BE, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 35338973, Asignatura: 296113E, Grupo: A, Horario: Jueves: 17:30 - Jueves: 18:30
Alumno: 35338973, Asignatura: 296113A, Grupo: A, Horario: Viernes: 17:30 - Viernes: 18:30
Alumno: 35338973, Asignatura: 296113C, Grupo: A, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 73286796, Asignatura: 29611BE, Grupo: A, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 11234619, Asignatura: 296113S, Grupo: A, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 11234619, Asignatura: 296113T, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 11234619, Asignatura: 296113U, Grupo: A, Horario: Viernes: 15:30 - Viernes: 16:30
Alumno: 11234619, Asignatura: 296113Q, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 11234619, Asignatura: 296113R, Grupo: A, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 49182442, Asignatura: 2961127, Grupo: C, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 49182442, Asignatura: 2961128, Grupo: C, Horario: Miércoles: 09:30
Alumno: 49182442, Asignatura: 2961129, Grupo: C, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 49182442, Asignatura: 296112A, Grupo: C, Horario: Martes: 09:30 - Martes: 10:30
Alumno: 49182442, Asignatura: 2961126, Grupo: C, Horario: Miércoles: 10:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 87130265, Asignatura: 2961118, Grupo: B, Horario: Martes: 12:30 - Miércoles: 12:30
Alumno: 87130265, Asignatura: 2961117, Grupo: B, Horario: Jueves: 11:30 - Jueves: 12:30
Alumno: 87130265, Asignatura: 2961116, Grupo: B, Horario: Lunes: 09:30 - Lunes: 10:30 - Miércoles: 11:30
Alumno: 87130265, Asignatura: 2961119, Grupo: B, Horario: Lunes: 11:30 - Lunes: 12:30
Alumno: 87130265, Asignatura: 296111A, Grupo: B, Horario: Martes: 11:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 25078088, Asignatura: 2961126, Grupo: B, Horario: Miércoles: 11:30 - Miércoles: 12:30 - Jueves: 11:30
Alumno: 25078088, Asignatura: 296113N, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 25078088, Asignatura: 296113X, Grupo: A, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 63025911, Asignatura: 296111A, Grupo: A, Horario: Martes: 09:30 - Martes: 10:30 - Miércoles: 10:30
Alumno: 63025911, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 63025911, Asignatura: 2961128, Grupo: B, Horario: Jueves: 12:30
Alumno: 63025911, Asignatura: 296113L, Grupo: A, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 63025911, Asignatura: 296113J, Grupo: A, Horario: Viernes: 15:30 - Viernes: 16:30
Alumno: 38921557, Asignatura: 2961116, Grupo: E, Horario: Miércoles: 17:30 - Jueves: 17:30 - Jueves: 18:30
Alumno: 38921557, Asignatura: 2961117, Grupo: E, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 38921557, Asignatura: 296111A, Grupo: E, Horario: Martes: 18:30 - Miércoles: 15:30 - Miércoles: 16:30
Alumno: 38921557, Asignatura: 2961118, Grupo: E, Horario: Martes: 17:30 - Miércoles: 18:30
Alumno: 38921557, Asignatura: 2961119, Grupo: E, Horario: Lunes: 17:30 - Lunes: 18:30
Alumno: 76869380, Asignatura: 2961128, Grupo: C, Horario: Miércoles: 09:30
Alumno: 76869380, Asignatura: 2961129, Grupo: C, Horario: Lunes: 09:30 - Lunes: 10:30
Alumno: 76869380, Asignatura: 2961127, Grupo: C, Horario: Jueves: 09:30 - Jueves: 10:30
Alumno: 76869380, Asignatura: 2961126, Grupo: C, Horario: Miércoles: 10:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 76869380, Asignatura: 296112A, Grupo: C, Horario: Martes: 09:30 - Martes: 10:30
Alumno: 14817203, Asignatura: 296111A, Grupo: B, Horario: Martes: 11:30 - Viernes: 09:30 - Viernes: 10:30
Alumno: 14817203, Asignatura: 2961119, Grupo: B, Horario: Lunes: 11:30 - Lunes: 12:30
Alumno: 14817203, Asignatura: 2961118, Grupo: B, Horario: Martes: 12:30 - Miércoles: 12:30
Alumno: 14817203, Asignatura: 2961117, Grupo: B, Horario: Jueves: 11:30 - Jueves: 12:30
Alumno: 14817203, Asignatura: 2961116, Grupo: B, Horario: Lunes: 09:30 - Lunes: 10:30 - Miércoles: 11:30
Alumno: 90712849, Asignatura: 2961116, Grupo: F, Horario: Lunes: 15:30 - Martes: 16:30 - Viernes: 18:30
Alumno: 90712849, Asignatura: 2961118, Grupo: F, Horario: Lunes: 16:30 - Martes: 15:30
Alumno: 90712849, Asignatura: 2961127, Grupo: B, Horario: Lunes: 11:30 - Lunes: 12:30
Alumno: 90712849, Asignatura: 2961128, Grupo: B, Horario: Jueves: 12:30
Alumno: 28660672, Asignatura: 296112A, Grupo: B, Horario: Martes: 11:30 - Martes: 12:30
Alumno: 28660672, Asignatura: 296113T, Grupo: A, Horario: Miércoles: 15:30 - Miércoles: 16:30
Alumno: 28660672, Asignatura: 296113U, Grupo: A, Horario: Viernes: 15:30 - Viernes: 16:30
Alumno: 28660672, Asignatura: 296113R, Grupo: A, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 28660672, Asignatura: 296113Q, Grupo: A, Horario: Jueves: 15:30 - Jueves: 16:30
Alumno: 28660672, Asignatura: 296113S, Grupo: A, Horario: Lunes: 15:30 - Lunes: 16:30
Alumno: 66608495, Asignatura: 2961118, Grupo: A, Horario: Miércoles: 09:30 - Jueves: 12:30
Alumno: 66608495, Asignatura: 296112A, Grupo: D, Horario: Martes: 15:30 - Martes: 16:30
Alumno: 66608495, Asignatura: 2961128, Grupo: A, Horario: Miércoles: 10:30
